Customer_ID,Transaction_Date,Transaction_Time
2,2019-01-23,10:33:00
2,2019-01-26,14:41:00
2,2019-01-05,19:48:00
2,2019-02-02,12:40:00
2,2019-01-23,12:35:00
2,2019-01-01,19:31:00
2,2019-01-30,17:08:00
2,2019-01-19,20:29:00
2,2019-01-31,20:32:00
2,2019-01-30,14:43:00
2,2019-01-14,15:20:00
2,2019-01-29,14:26:00
2,2019-01-18,10:11:00
2,2019-01-14,18:03:00
2,2019-01-16,18:03:00
2,2019-01-01,19:48:00
2,2019-02-03,15:19:00
2,2019-01-01,19:07:00
2,2019-01-15,10:43:00
2,2019-01-21,18:01:00
2,2019-01-25,16:28:00
2,2019-01-04,19:01:00
2,2019-01-07,20:52:00
2,2019-01-26,19:14:00
2,2019-01-30,19:42:00
2,2019-01-04,19:40:00
2,2019-02-03,10:19:00
3,2019-03-27,10:43:00
3,2019-03-14,15:36:00
3,2019-03-26,20:21:00
3,2019-03-23,13:14:00
3,2019-02-25,20:19:00
3,2019-02-20,13:24:00
3,2019-03-15,14:38:00
3,2019-03-26,11:07:00
3,2019-03-18,13:45:00
3,2019-02-26,17:46:00
3,2019-03-14,14:13:00
3,2019-03-20,12:24:00
3,2019-03-09,11:23:00
3,2019-03-02,16:42:00
3,2019-03-26,10:31:00
3,2019-03-25,17:53:00
3,2019-03-13,19:48:00
3,2019-02-12,16:19:00
3,2019-03-30,17:04:00
3,2019-02-15,14:15:00
3,2019-03-10,17:38:00
3,2019-02-07,14:38:00
3,2019-02-26,20:26:00
3,2019-02-15,17:01:00
3,2019-03-13,19:22:00
3,2019-02-21,18:31:00
3,2019-02-11,10:54:00
3,2019-03-20,15:56:00
3,2019-02-25,16:21:00
3,2019-03-27,19:18:00
3,2019-03-11,16:07:00
3,2019-02-15,12:44:00
3,2019-02-14,14:35:00
3,2019-02-27,17:24:00
3,2019-02-06,10:42:00
3,2019-03-11,15:30:00
3,2019-02-24,11:38:00
11,2019-03-29,19:12:00
11,2019-02-05,18:45:00
11,2019-03-27,16:30:00
11,2019-02-06,15:16:00
11,2019-02-15,15:21:00
11,2019-03-17,16:36:00
11,2019-02-23,11:12:00
11,2019-02-27,12:52:00
11,2019-02-19,11:33:00
11,2019-03-23,12:41:00
11,2019-03-23,15:59:00
11,2019-03-01,16:23:00
11,2019-03-16,15:33:00
11,2019-02-04,18:53:00
11,2019-03-28,16:06:00
11,2019-02-23,20:43:00
11,2019-02-04,15:44:00
